Band,rock,pop,folk,alternative,world,instrumental,classic,country,blues,rnb,hiphop,electronic,asian,metal
blink-182,1.49890971644,0.332497512124,0.0197386312879,1.25468015612,0.00558090396521,0.0174515104477,0.0173742497453,0.00603886989494,0.0146085774724,0.0100098432206,0.0368613452226,0.0494535223884,0.00161384317655,0.0925579615949
My Chemical Romance,1.63542066455,0.131640557481,0.0323838091432,0.75548737044,0.00176322207889,0.0160216988039,0.00350493116112,0.00665834276904,0.00922851313427,0.00765722073143,0.0226062224668,0.0349334507665,3.97920134231e-05,0.0700703610504
The Offspring,1.57760549032,0.228004944741,0.0485004603583,1.19004694022,0.00931909474349,0.0243793571381,0.0278287591694,0.0154048800909,0.0256938153235,0.013479330335,0.0451373141378,0.0665619409053,0.00142540253333,0.151089111693
Simple Plan,1.68637958425,0.24442947602,0.00545687011086,0.68351192022,0.000121344273955,0.00687768478128,0.00236734528499,0.00282623491802,0.00534390221403,0.00208662345718,0.0173669464327,0.0275523946221,0.00105591843751,0.0276277820162
Bowling for Soup,1.49890971644,0.332497512124,0.0197386312879,1.25468015612,0.00558090396521,0.0174515104477,0.0173742497453,0.00603886989494,0.0146085774724,0.0100098432206,0.0368613452226,0.0494535223884,0.00161384317655,0.0925579615949
Good Charlotte,1.49890971644,0.332497512124,0.0197386312879,1.25468015612,0.00558090396521,0.0174515104477,0.0173742497453,0.00603886989494,0.0146085774724,0.0100098432206,0.0368613452226,0.0494535223884,0.00161384317655,0.0925579615949
OneRepublic,1.61012254786,0.688459449799,0.0443448602054,0.384398553542,0.00622196948859,0.00972066620932,0.00966038911298,0.00827633813042,0.0120311872689,0.0127486563587,0.0196834504706,0.0549423208947,0.000122068692582,0.00607728426404
Snow Patrol,0.55415766268,0.300774871345,0.171013219016,1.73696851405,0.00596693610686,0.0412029688589,0.00673577744693,0.021567455153,0.0222313488915,0.00272448904444,0.0301997568983,0.162186620785,0.000403930919873,0.0106532127764
U2,1.89485613796,0.351023195109,0.089443186869,0.118722559732,0.00211018136133,0.0456599194605,0.0376764321273,0.0390282716287,0.193709960847,0.0100276725518,0.0094715863641,0.0290380105307,8.7081662637e-05,0.101641775939
Maroon 5,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Imagine Dragons,1.16109227515,0.48316228937,0.267821879127,1.49694529277,0.00739109902828,0.0638312502929,0.0118352847537,0.0368710181732,0.0472681984104,0.00369988976027,0.0405844230595,0.261475641199,0.000409111084781,0.0184228691128
The Script,0.940240801601,1.00907216303,0.770517326144,0.779467533804,0.294086884301,0.14602470171,0.0222161582929,0.0169538847843,0.0530009694535,0.0274530292236,0.0248210027267,0.0835050212647,0.000187430230769,0.0262902152392
Foster the People,1.00249103613,0.857007396853,0.329571704915,1.37912543403,0.0140411326944,0.0628461362907,0.0137683187158,0.0379955538179,0.0388257614784,0.00725430294488,0.0563924544016,0.386358637481,0.000571659878076,0.0135219628433
The Madden Brothers,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Justice Crew,0.69877887925,0.924397058622,0.143096817685,0.806397559306,0.0248618916398,0.0849542540278,0.0325504965125,0.0253757311622,0.0207586172805,0.203517644909,0.184324957266,0.973075264031,0.0257703945334,0.0267043822531
MKTO,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Martin Tungevaag,0.745885204426,0.820064780854,0.318651664912,1.04376641233,0.22017523926,0.288491943345,0.0224227319903,0.0851604590736,0.0380589948156,0.00547692702718,0.222575847949,0.968959203725,0.105512539285,0.563938711838
The Avener,0.0889776442311,0.260478690928,0.00420217762165,0.0669776958021,0.0137168838905,0.0674517560668,0.0177502113765,0.00366501971747,0.00886217074722,0.0703242097464,0.0926670431329,1.96426100214,0.0320788111741,0.00573938607509
Airbourne,1.84391493451,0.0501289701764,0.00773467668608,0.366276706,0.000860494737526,0.0359198706009,0.0188682900027,0.00430817046522,0.0726254041943,0.00677501582024,0.0131247425781,0.0157987115132,5.50688499782e-05,0.379036221838
Black Sabbath,1.48140610753,0.0608571271762,0.0196696265651,0.446089565081,0.000940849001951,0.0872668617816,0.0398829020334,0.00560283541579,0.0979227013304,0.0124022791847,0.0273221826201,0.0299542490247,8.2551980295e-05,1.14246532712
Aerosmith,1.89485613796,0.351023195109,0.089443186869,0.118722559732,0.00211018136133,0.0456599194605,0.0376764321273,0.0390282716287,0.193709960847,0.0100276725518,0.0094715863641,0.0290380105307,8.7081662637e-05,0.101641775939
Motörhead,1.48140610753,0.0608571271762,0.0196696265651,0.446089565081,0.000940849001951,0.0872668617816,0.0398829020334,0.00560283541579,0.0979227013304,0.0124022791847,0.0273221826201,0.0299542490247,8.2551980295e-05,1.14246532712
Ozzy Osbourne,1.48140610753,0.0608571271762,0.0196696265651,0.446089565081,0.000940849001951,0.0872668617816,0.0398829020334,0.00560283541579,0.0979227013304,0.0124022791847,0.0273221826201,0.0299542490247,8.2551980295e-05,1.14246532712
Guns N' Roses,1.84391493451,0.0501289701764,0.00773467668608,0.366276706,0.000860494737526,0.0359198706009,0.0188682900027,0.00430817046522,0.0726254041943,0.00677501582024,0.0131247425781,0.0157987115132,5.50688499782e-05,0.379036221838
Metallica,0.212929707357,0.00372099558336,0.00851395155784,0.0342034614759,4.25447314766e-05,0.0414973802929,0.013854983779,0.00166466689532,0.00208385763193,0.00172014188833,0.00839257394157,0.00774439244437,0.00542986579562,1.97535673884
Iron Maiden,0.637491173022,0.0107281569998,0.011934949879,0.0798128590811,8.03542644241e-05,0.0513469911807,0.0210146120307,0.00129466495058,0.0252972971361,0.00562726336442,0.014197440042,0.0141555375115,2.74831303168e-05,1.76342910528
Accept,1.48140610753,0.0608571271762,0.0196696265651,0.446089565081,0.000940849001951,0.0872668617816,0.0398829020334,0.00560283541579,0.0979227013304,0.0124022791847,0.0273221826201,0.0299542490247,8.2551980295e-05,1.14246532712
Jessie J,0.679402986225,1.42076161429,0.0622684012907,0.544238327226,0.0048953376717,0.0300558019232,0.016596852597,0.00702434561043,0.0311718260953,0.0571894395729,0.0762822519375,0.222618055149,0.000338451291253,0.0206449362397
Rita Ora,0.139235714166,1.4879314055,0.0101789227104,0.136497245542,0.0195952769819,0.0403541159962,0.0210910152253,0.00420116885234,0.00681471691232,0.171373998908,0.157134425255,0.816813362473,0.00252147645225,0.00540353519164
Tove Lo,0.426446638538,1.72538176843,0.108882801685,0.443354736769,0.00784372771377,0.0573280600773,0.00487583865235,0.0117535900467,0.0235338176222,0.00631660696878,0.0315853766047,0.250245239871,0.0141691651671,0.12498357789
Taio Cruz,0,1,0,0,0,0,0,0,0,1,0,0,0,0
